K14	 59297.315729	  5.6
K14	 59297.315763	  5.6
K14	 59297.315965	  2.8
K14	 59297.316303	  2.5
K14	 59297.316404	 10.2
K14	 59297.316412	 10.2
K14	 59297.316429	 10.2
K14	 59297.316497	 12.1
K14	 59297.316539	 12.1
K14	 59297.317053	  3.5
K14	 59297.317938	  3.8
K14	 59297.319169	  3.6
K14	 59297.319254	  7.7
K14	 59321.932960	  3.0
K14	 59321.933679	  4.9
K14	 59321.934418	  8.6
K14	 59321.934540	  7.7
K14	 59321.934607	  6.9
K14	 59321.933537	  1.7
K14	 59321.933564	  1.7
K14	 59321.934199	  1.7
K14	 59321.938127	  4.4
K14	 59321.938011	  3.1
K14	 59321.938223	  1.9
K14	 59346.564939	  1.6
K14	 59346.565635	  2.4
K14	 59346.565061	  1.3
K14	 59346.569816	  2.5
K14	 59346.566479	  2.8
K14	 59346.566536	  2.2
K14	 59346.566606	  2.8
K14	 60032.581035	  2.0
K14	 60032.581424	  3.9
K14	 60032.581506	  2.2
K14	 60032.582100	  6.3
K14	 60032.584703	  2.0
K14	 60032.585195	  4.7
K14	 60032.587285	  5.5
K14	 60032.587633	  4.4
K14	 60032.588064	  3.0
K14	 60032.589006	  2.8
K14	 60032.589129	  1.7
K14	 60032.582341	  9.7
K14	 60032.582322	  9.7
K14	 60032.583432	  7.8
K14	 60032.583514	 11.1
K14	 60032.586349	  3.6
K14	 60032.586381	  3.3
K14	 60032.586419	  3.1
K14	 60057.136737	  1.9
K14	 60057.137966	  3.8
K14	 60057.138089	  4.5
K14	 60057.138827	  1.4
K14	 60057.140087	  6.1
K14	 60057.144052	  1.7
K14	 60057.141095	  4.1
K14	 60057.141159	  6.7
K14	 60057.141200	 14.0
K14	 60057.141214	 14.0
K14	 60057.139986	  5.2
K14	 60057.139934	  5.0
K14	 60057.144635	  3.6
K14	 60057.144694	  9.7
K14	 60057.144978	  1.6
