K14	  4042.350575	 18.5
K14	  4042.351715	  6.3
K14	  4042.352478	  5.4
K14	  4042.353913	  6.2
K14	  4042.355035	  8.2
K14	  5415.925529	 24.3
K14	  5415.926375	 16.1
K14	  5415.926869	  8.8
K14	  5415.927388	 16.3
K14	  5478.361331	 19.1
K14	  5478.362069	 17.0
K02	   189.950429	 17.8
K02	   189.951122	 32.2
K02	   189.952340	  8.7
K02	   189.953917	 28.3
K02	   275.400842	  6.6
K02	   275.401419	 22.5
K02	   275.401804	 50.1
K02	   275.402565	 24.9
K14	   328.560374	  2.3
K14	   328.561164	 11.4
K14	   328.561892	  4.7
K14	   328.562364	  6.5
K14	   328.562856	  6.0
K14	   328.564744	  6.2
K02	   374.550080	  8.7
K02	   374.550404	 17.8
K02	   374.550743	 44.9
K02	   374.551730	  8.4
K02	   374.552308	 20.8
K02	   462.414984	 42.7
K02	   462.415484	 17.0
K02	   462.416189	 15.5
K02	   462.416567	 19.1
K02	   462.418157	  8.2
WSB	   556.285757	  8.0
WSB	   556.286279	 27.3
WSB	   556.287407	 26.9
WSB	   556.288549	  8.0
WSB	   556.290199	 10.8
WSB	   556.292047	 12.5
WSB	   583.433144	  6.8
WSB	   583.433585	 16.6
WSB	   583.433903	 26.2
WSB	   583.434426	 13.0
WSB	   583.434774	 32.2
WSB	   583.436077	 11.5
WSB	   583.436877	  9.0
WSB	   583.437410	 18.3
WSB	   618.098032	  5.0
WSB	   618.098301	  4.6
WSB	   618.098712	  4.0
WSB	   618.099224	 22.7
WSB	   618.104378	  3.8
WSB	   618.104712	  3.7
K14	  5451.054938	  1.8
K14	  5451.055488	  7.4
K14	  5451.055967	  6.1
K14	  5451.056729	  8.3
K14	  5451.057378	  8.4
K14	  5451.058675	  6.8
K14	  5451.059197	  7.4
K14	  5451.060071	 12.7
K14	  5451.061340	  5.9
K14	  5451.062313	  9.1
K14	  5451.062694	  4.3
K14	  5451.064316	  3.4
WSB	  5454.377327	  8.9
WSB	  5454.379763	  5.9
WSB	  5454.380494	 19.6
WSB	  5454.383429	 14.6
WSB	  5454.383750	  9.9
WSB	  5490.534758	  6.7
WSB	  5490.536778	  8.9
WSB	  5490.537747	  9.0
WSB	  5490.538070	 11.6
WSB	  5490.539928	  3.1
K14	  5496.233147	  2.4
K14	  5496.233583	  3.0
K14	  5496.233929	  4.4
K14	  5496.234712	  9.8
K14	  5496.236583	  4.8
K14	  5496.237583	  1.8
K14	  5496.238378	  2.6
K14	  5496.239455	  2.6
K14	  5496.239891	 21.5
K14	  5496.240224	  6.7
WSB	  5510.745358	  3.0
WSB	  5510.745788	 13.2
WSB	  5510.746596	  8.2
WSB	  5510.747312	  2.4
WSB	  5510.747873	  5.4
WSB	  5511.439109	  3.0
WSB	  5511.440314	 22.0
K14	  5519.001192	  1.2
K14	  5519.001562	  0.9
K14	  5519.001808	  1.2
K14	  5519.002546	  1.6
K14	  5519.003469	  1.3
K14	  5519.004085	  1.3
K14	  5519.004546	  3.2
K14	  5519.005223	  6.9
K14	  5519.005900	  3.5
K14	  5519.007162	  1.9
K14	  5519.008008	  6.5
K14	  5519.009669	  4.0
K14	  5519.010285	  2.2
K14	  5519.011238	  2.4
WSB	  5545.112455	  8.0
WSB	  5545.113071	  9.0
WSB	  5545.113647	 15.9
WSB	  5545.114391	  3.0
WSB	  5545.115045	  2.6
WSB	  5545.115801	 10.0
WSB	  5545.116635	  2.8
WSB	  5545.117353	  6.5
WSB	  5554.690391	  3.2
WSB	  5554.691353	  1.2
WSB	  5554.692135	  5.6
WSB	  5554.694212	  9.1
WSB	  5554.695981	  5.6
WSB	  5565.083892	  9.3
WSB	  5565.085925	 10.5
WSB	  5565.088425	 20.6
WSB	  5565.089825	 12.8
WSB	  5565.091775	 21.9
WSB	  5605.677372	 19.3
WSB	  5605.680244	 16.8
WSB	  5605.682218	 17.3
WSB	  5644.050988	 19.0
WSB	  5644.051194	  3.3
WSB	  5644.051616	  6.4
WSB	  5644.052047	 11.8
WSB	  5644.052684	  2.4
WSB	  5644.053438	  2.3
WSB	  5644.053860	  3.9
WSB	  5644.054371	  3.9
WSB	  5644.055304	  3.0
WSB	  5644.050844	  2.5
WSB	  5663.801263	  1.5
WSB	  5663.802692	 10.9
WSB	  5663.805983	  6.1
WSB	  5663.807309	  1.5
WSB	  5663.808024	  1.8
WSB	  5663.808993	  3.4
WSB	  5663.810652	  2.9
WSB	  5663.811162	  3.9
WSB	  5663.814198	  5.0
WSB	  5684.258032	 11.6
WSB	  5684.259481	  1.7
WSB	  5684.261468	  1.9
WSB	  5684.262019	  3.3
WSB	  5684.262468	  2.8
K14	  5690.061006	  1.5
K14	  5690.061327	  1.9
K14	  5690.061840	 29.9
K14	  5690.065378	  2.3
K14	  5690.066417	  3.8
K14	  5690.066891	  3.2
K14	  5690.068173	  2.4
K14	  5690.068622	  7.6
WSB	  5704.148904	  1.0
WSB	  5704.149224	  9.9
WSB	  5704.150109	 13.2
WSB	  5704.150827	  4.5
WSB	  5704.151519	  1.9
WSB	  5704.152840	  4.1
K02	  5723.181216	 16.3
K02	  5723.181817	 23.8
K02	  5723.182158	 10.4
K02	  5723.182374	 24.4
K02	  5723.182535	  9.2
K02	  5723.182733	 11.5
K02	  5723.183576	 12.4
K02	  5723.184447	  7.4
K02	  5723.184734	  8.8
K02	  5723.186089	 10.2
