Date: 2011-07-28
Station: K02
Channel: 1

Time (s)      E (V/m)
77513.3286148  -0.04406846
77513.3286158  -0.04309187
77513.3286168  -0.04358017
77513.3286178  -0.04358017
77513.3286188  -0.04455675
77513.3286198  -0.04431261
77513.3286208  -0.04333602
77513.3286218  -0.04309187
77513.3286228  -0.04284773
77513.3286238  -0.04406846
77513.3286248  -0.04333602
77513.3286258  -0.04358017
77513.3286268  -0.04333602
77513.3286278  -0.04358017
77513.3286288  -0.04333602
77513.3286298  -0.04358017
77513.3286308  -0.04333602
77513.3286318  -0.04358017
77513.3286328  -0.04309187
77513.3286338  -0.04309187
77513.3286348  -0.04309187
77513.3286358  -0.04406846
77513.3286368  -0.04358017
77513.3286378  -0.04406846
77513.3286388  -0.04406846
77513.3286398  -0.04382431
77513.3286408  -0.04358017
77513.3286418  -0.04284773
77513.3286428  -0.04309187
77513.3286438  -0.04284773
77513.3286448  -0.04333602
77513.3286458  -0.04358017
77513.3286468  -0.04358017
77513.3286478  -0.04333602
77513.3286488  -0.04358017
77513.3286498  -0.04406846
77513.3286508  -0.04406846
77513.3286518  -0.04260358
77513.3286528  -0.04260358
77513.3286538  -0.04382431
77513.3286548  -0.04358017
77513.3286558  -0.04358017
77513.3286568  -0.04358017
77513.3286578  -0.04382431
77513.3286588  -0.04333602
77513.3286598  -0.04358017
77513.3286608  -0.04431261
77513.3286618  -0.04382431
77513.3286628  -0.04333602
77513.3286638  -0.04406846
77513.3286648  -0.04406846
77513.3286658  -0.04406846
77513.3286668  -0.04333602
77513.3286678  -0.04333602
77513.3286688  -0.04309187
77513.3286698  -0.04382431
77513.3286708  -0.04309187
77513.3286718  -0.04309187
77513.3286728  -0.04284773
77513.3286738  -0.04455675
77513.3286748  -0.04284773
77513.3286758  -0.04309187
77513.3286768  -0.04382431
77513.3286778  -0.04358017
77513.3286788  -0.04382431
77513.3286798  -0.04382431
77513.3286808  -0.04333602
77513.3286818  -0.04358017
77513.3286828  -0.04358017
77513.3286838  -0.04406846
77513.3286848  -0.04358017
77513.3286858  -0.04284773
77513.3286868  -0.04382431
77513.3286878  -0.04406846
77513.3286888  -0.04284773
77513.3286898  -0.04406846
77513.3286908  -0.04358017
77513.3286918  -0.04358017
77513.3286928  -0.04431261
77513.3286938  -0.04333602
77513.3286948  -0.04358017
77513.3286958  -0.04431261
77513.3286968  -0.04406846
77513.3286978  -0.04382431
77513.3286988  -0.04333602
77513.3286998  -0.04333602
77513.3287008  -0.04382431
77513.3287018  -0.04382431
77513.3287028  -0.04382431
77513.3287038  -0.04431261
77513.3287048  -0.04382431
77513.3287058  -0.04382431
77513.3287068  -0.04431261
77513.3287078  -0.04406846
77513.3287088  -0.04333602
77513.3287098  -0.04333602
77513.3287108  -0.04406846
77513.3287118  -0.04333602
77513.3287128  -0.04358017
77513.3287138  -0.04284773
77513.3287148  -0.04260358
77513.3287158  -0.04333602
77513.3287168  -0.04358017
77513.3287178  -0.04382431
77513.3287188  -0.04358017
77513.3287198  -0.04406846
77513.3287208  -0.04431261
77513.3287218  -0.04333602
77513.3287228  -0.04358017
77513.3287238  -0.04309187
77513.3287248  -0.04333602
77513.3287258  -0.04358017
77513.3287268  -0.04406846
77513.3287278  -0.04333602
77513.3287288  -0.04333602
77513.3287298  -0.04309187
77513.3287308  -0.04333602
77513.3287318  -0.04309187
77513.3287328  -0.04211529
77513.3287338  -0.04309187
77513.3287348  -0.04382431
77513.3287358  -0.04309187
77513.3287368  -0.04358017
77513.3287378  -0.04309187
77513.3287388  -0.04358017
77513.3287398  -0.04309187
77513.3287408  -0.04406846
77513.3287418  -0.04309187
77513.3287428  -0.04406846
77513.3287438  -0.04358017
77513.3287448  -0.04309187
77513.3287458  -0.04382431
77513.3287468  -0.04333602
77513.3287478  -0.04382431
77513.3287488  -0.04284773
77513.3287498  -0.04358017
77513.3287508  -0.04333602
77513.3287518  -0.04358017
77513.3287528  -0.04382431
77513.3287538  -0.04406846
77513.3287548  -0.04431261
77513.3287558  -0.04431261
77513.3287568  -0.04406846
77513.3287578  -0.04382431
77513.3287588  -0.04284773
77513.3287598  -0.04358017
77513.3287608  -0.04406846
77513.3287618  -0.04333602
77513.3287628  -0.04431261
77513.3287638  -0.04333602
77513.3287648  -0.04358017
77513.3287658  -0.04309187
77513.3287668  -0.04431261
77513.3287678  -0.04333602
77513.3287688  -0.04309187
77513.3287698  -0.04309187
77513.3287708  -0.04309187
77513.3287718  -0.04382431
77513.3287728  -0.04358017
77513.3287738  -0.04358017
77513.3287748  -0.04309187
77513.3287758  -0.04382431
77513.3287768  -0.04284773
77513.3287778  -0.04309187
77513.3287788  -0.04358017
77513.3287798  -0.04333602
77513.3287808  -0.04260358
77513.3287818  -0.04382431
77513.3287828  -0.04406846
77513.3287838  -0.04333602
77513.3287848  -0.04382431
77513.3287858  -0.04358017
77513.3287868  -0.04309187
77513.3287878  -0.04358017
77513.3287888  -0.04382431
77513.3287898  -0.04406846
77513.3287908  -0.04333602
77513.3287918  -0.04358017
77513.3287928  -0.04358017
77513.3287938  -0.04431261
77513.3287948  -0.04358017
77513.3287958  -0.04358017
77513.3287968  -0.04382431
77513.3287978  -0.04382431
77513.3287988  -0.04260358
77513.3287998  -0.04358017
77513.3288008  -0.04358017
77513.3288018  -0.04358017
77513.3288028  -0.04309187
77513.3288038  -0.04358017
77513.3288048  -0.04358017
77513.3288058  -0.04333602
77513.3288068  -0.04309187
77513.3288078  -0.04504505
77513.3288088  -0.04382431
77513.3288098  -0.04284773
77513.3288108  -0.04406846
77513.3288118  -0.04333602
77513.3288128  -0.04333602
77513.3288138  -0.04358017
77513.3288148  -0.04406846
77513.3288158  -0.04309187
77513.3288168  -0.04309187
77513.3288178  -0.04406846
77513.3288188  -0.04406846
77513.3288198  -0.04455675
77513.3288208  -0.04382431
77513.3288218  -0.04382431
77513.3288228  -0.04333602
77513.3288238  -0.04455675
77513.3288248  -0.04382431
77513.3288258  -0.04358017
77513.3288268  -0.04309187
77513.3288278  -0.04333602
77513.3288288  -0.04333602
77513.3288298  -0.04406846
77513.3288308  -0.04406846
77513.3288318  -0.04358017
77513.3288328  -0.04382431
77513.3288338  -0.04358017
77513.3288348  -0.04431261
77513.3288358  -0.04284773
77513.3288368  -0.04284773
77513.3288378  -0.04406846
77513.3288388  -0.04382431
77513.3288398  -0.04382431
77513.3288408  -0.04406846
77513.3288418  -0.04382431
77513.3288428  -0.04382431
77513.3288438  -0.04333602
77513.3288448  -0.04333602
77513.3288458  -0.04333602
77513.3288468  -0.04333602
77513.3288478  -0.04358017
77513.3288488  -0.04406846
77513.3288498  -0.04358017
77513.3288508  -0.04382431
77513.3288518  -0.04333602
77513.3288528  -0.04284773
77513.3288538  -0.04382431
77513.3288548  -0.04358017
77513.3288558  -0.04309187
77513.3288568  -0.04358017
77513.3288578  -0.04284773
77513.3288588  -0.04382431
77513.3288598  -0.04431261
77513.3288608  -0.04382431
77513.3288618  -0.04333602
77513.3288628  -0.04333602
77513.3288638  -0.04309187
77513.3288648  -0.04333602
77513.3288658  -0.04309187
77513.3288668  -0.04358017
77513.3288678  -0.04260358
77513.3288688  -0.04358017
77513.3288698  -0.04382431
77513.3288708  -0.04455675
77513.3288718  -0.04382431
77513.3288728  -0.04406846
77513.3288738  -0.04406846
77513.3288748  -0.04358017
77513.3288758  -0.04333602
77513.3288768  -0.04358017
77513.3288778  -0.04358017
77513.3288788  -0.04309187
77513.3288798  -0.04358017
77513.3288808  -0.04358017
77513.3288818  -0.04455675
77513.3288828  -0.04382431
77513.3288838  -0.04333602
77513.3288848  -0.04431261
77513.3288858  -0.04358017
77513.3288868  -0.04406846
77513.3288878  -0.04284773
77513.3288888  -0.04333602
77513.3288898  -0.04382431
77513.3288908  -0.04358017
77513.3288918  -0.04309187
77513.3288928  -0.04309187
77513.3288938  -0.04309187
77513.3288948  -0.04333602
77513.3288958  -0.04309187
77513.3288968  -0.04358017
77513.3288978  -0.04406846
77513.3288988  -0.04309187
77513.3288998  -0.04284773
77513.3289008  -0.04406846
77513.3289018  -0.04333602
77513.3289028  -0.04333602
77513.3289038  -0.04358017
77513.3289048  -0.04333602
77513.3289058  -0.04358017
77513.3289068  -0.04406846
77513.3289078  -0.04358017
77513.3289088  -0.04382431
77513.3289098  -0.04333602
77513.3289108  -0.04358017
77513.3289118  -0.04455675
77513.3289128  -0.04333602
77513.3289138  -0.04284773
77513.3289148  -0.04406846
77513.3289158  -0.04382431
77513.3289168  -0.04431261
77513.3289178  -0.04309187
77513.3289188  -0.04455675
77513.3289198  -0.04382431
77513.3289208  -0.04358017
77513.3289218  -0.04358017
77513.3289228  -0.04309187
77513.3289238  -0.04284773
77513.3289248  -0.04358017
77513.3289258  -0.04333602
77513.3289268  -0.04333602
77513.3289278  -0.04333602
77513.3289288  -0.04333602
77513.3289298  -0.04406846
77513.3289308  -0.04382431
77513.3289318  -0.04406846
77513.3289328  -0.04333602
77513.3289338  -0.04382431
77513.3289348  -0.04406846
77513.3289358  -0.04406846
77513.3289368  -0.04260358
77513.3289378  -0.04406846
77513.3289388  -0.04382431
77513.3289398  -0.04333602
77513.3289408  -0.04358017
77513.3289418  -0.04284773
77513.3289428  -0.04358017
77513.3289438  -0.04284773
77513.3289448  -0.04333602
77513.3289458  -0.04358017
77513.3289468  -0.04284773
77513.3289478  -0.04382431
77513.3289488  -0.04333602
77513.3289498  -0.04358017
77513.3289508  -0.04358017
77513.3289518  -0.04358017
77513.3289528  -0.04358017
77513.3289538  -0.04406846
77513.3289548  -0.04309187
77513.3289558  -0.04309187
77513.3289568  -0.04309187
77513.3289578  -0.04333602
77513.3289588  -0.04333602
77513.3289598  -0.04382431
77513.3289608  -0.04358017
77513.3289618  -0.04382431
77513.3289628  -0.04358017
77513.3289638  -0.04382431
77513.3289648  -0.04309187
77513.3289658  -0.04455675
77513.3289668  -0.04406846
77513.3289678  -0.04382431
77513.3289688  -0.04382431
77513.3289698  -0.04358017
77513.3289708  -0.04333602
77513.3289718  -0.04309187
77513.3289728  -0.04260358
77513.3289738  -0.04358017
77513.3289748  -0.04284773
77513.3289758  -0.04309187
77513.3289768  -0.04333602
77513.3289778  -0.04284773
77513.3289788  -0.04382431
77513.3289798  -0.04309187
77513.3289808  -0.04333602
77513.3289818  -0.04358017
77513.3289828  -0.04309187
77513.3289838  -0.04382431
77513.3289848  -0.04382431
77513.3289858  -0.04406846
77513.3289868  -0.04333602
77513.3289878  -0.04333602
77513.3289888  -0.04333602
77513.3289898  -0.04358017
77513.3289908  -0.04309187
77513.3289918  -0.04358017
77513.3289928  -0.04358017
77513.3289938  -0.04406846
77513.3289948  -0.04382431
77513.3289958  -0.04455675
77513.3289968  -0.04382431
77513.3289978  -0.04406846
77513.3289988  -0.04309187
77513.3289998  -0.04309187
77513.3290008  -0.04309187
77513.3290018  -0.04309187
77513.3290028  -0.04431261
77513.3290038  -0.04358017
77513.3290048  -0.04284773
77513.3290058  -0.04333602
77513.3290068  -0.04309187
77513.3290078  -0.04406846
77513.3290088  -0.04382431
77513.3290098  -0.04382431
77513.3290108  -0.04382431
77513.3290118  -0.04382431
77513.3290128  -0.04382431
77513.3290138  -0.04431261
77513.3290148  -0.04358017
77513.3290158  -0.04309187
77513.3290168  -0.04358017
77513.3290178  -0.04358017
77513.3290188  -0.04382431
77513.3290198  -0.04382431
77513.3290208  -0.04382431
77513.3290218  -0.04431261
77513.3290228  -0.04382431
77513.3290238  -0.04358017
77513.3290248  -0.04406846
77513.3290258  -0.04309187
77513.3290268  -0.04358017
77513.3290278  -0.04406846
77513.3290288  -0.04333602
77513.3290298  -0.04358017
77513.3290308  -0.04260358
77513.3290318  -0.04284773
77513.3290328  -0.04333602
77513.3290338  -0.04309187
77513.3290348  -0.04309187
77513.3290358  -0.04309187
77513.3290368  -0.04333602
77513.3290378  -0.04358017
77513.3290388  -0.04406846
77513.3290398  -0.04406846
77513.3290408  -0.04358017
77513.3290418  -0.04382431
77513.3290428  -0.04382431
77513.3290438  -0.04284773
77513.3290448  -0.04382431
77513.3290458  -0.04431261
77513.3290468  -0.04431261
77513.3290478  -0.04284773
77513.3290488  -0.04333602
77513.3290498  -0.04358017
77513.3290508  -0.04333602
77513.3290518  -0.04358017
77513.3290528  -0.04333602
77513.3290538  -0.04358017
77513.3290548  -0.04406846
77513.3290558  -0.04431261
77513.3290568  -0.04333602
77513.3290578  -0.04382431
77513.3290588  -0.04333602
77513.3290598  -0.04333602
77513.3290608  -0.04235943
77513.3290618  -0.04382431
77513.3290628  -0.04406846
77513.3290638  -0.04382431
77513.3290648  -0.04333602
77513.3290658  -0.04333602
77513.3290668  -0.04358017
77513.3290678  -0.04358017
77513.3290688  -0.04309187
77513.3290698  -0.04284773
77513.3290708  -0.04358017
77513.3290718  -0.04260358
77513.3290728  -0.04309187
77513.3290738  -0.04333602
77513.3290748  -0.04406846
77513.3290758  -0.04358017
77513.3290768  -0.04333602
77513.3290778  -0.04382431
77513.3290788  -0.04358017
77513.3290798  -0.04480090
77513.3290808  -0.04382431
77513.3290818  -0.04431261
77513.3290828  -0.04406846
77513.3290838  -0.04406846
77513.3290848  -0.04382431
77513.3290858  -0.04358017
77513.3290868  -0.04309187
77513.3290878  -0.04333602
77513.3290888  -0.04382431
77513.3290898  -0.04333602
77513.3290908  -0.04309187
77513.3290918  -0.04333602
77513.3290928  -0.04358017
77513.3290938  -0.04358017
77513.3290948  -0.04309187
77513.3290958  -0.04333602
77513.3290968  -0.04333602
77513.3290978  -0.04284773
77513.3290988  -0.04358017
77513.3290998  -0.04309187
77513.3291008  -0.04382431
77513.3291018  -0.04382431
77513.3291028  -0.04284773
77513.3291038  -0.04309187
77513.3291048  -0.04382431
77513.3291058  -0.04382431
77513.3291068  -0.04358017
77513.3291078  -0.04333602
77513.3291088  -0.04333602
77513.3291098  -0.04309187
77513.3291108  -0.04358017
77513.3291118  -0.04260358
77513.3291128  -0.04284773
77513.3291138  -0.04382431
77513.3291148  -0.04309187
77513.3291158  -0.04358017
77513.3291168  -0.04358017
77513.3291178  -0.04358017
77513.3291188  -0.04358017
77513.3291198  -0.04406846
77513.3291208  -0.04333602
77513.3291218  -0.04480090
77513.3291228  -0.04284773
77513.3291238  -0.04309187
77513.3291248  -0.04358017
77513.3291258  -0.04333602
77513.3291268  -0.04260358
77513.3291278  -0.04284773
77513.3291288  -0.04333602
77513.3291298  -0.04406846
77513.3291308  -0.04431261
77513.3291318  -0.04406846
77513.3291328  -0.04309187
77513.3291338  -0.04358017
77513.3291348  -0.04358017
77513.3291358  -0.04358017
77513.3291368  -0.04406846
77513.3291378  -0.04455675
77513.3291388  -0.04358017
77513.3291398  -0.04309187
77513.3291408  -0.04284773
77513.3291418  -0.04358017
77513.3291428  -0.04382431
77513.3291438  -0.04284773
77513.3291448  -0.04358017
77513.3291458  -0.04284773
77513.3291468  -0.04333602
77513.3291478  -0.04333602
77513.3291488  -0.04333602
77513.3291498  -0.04455675
77513.3291508  -0.04187114
77513.3291518  -0.04333602
77513.3291528  -0.04358017
77513.3291538  -0.04358017
77513.3291548  -0.04309187
77513.3291558  -0.04309187
77513.3291568  -0.04358017
77513.3291578  -0.04309187
77513.3291588  -0.04406846
77513.3291598  -0.04406846
77513.3291608  -0.04406846
77513.3291618  -0.04260358
77513.3291628  -0.04382431
77513.3291638  -0.04358017
77513.3291648  -0.04358017
77513.3291658  -0.04309187
77513.3291668  -0.04382431
77513.3291678  -0.04260358
77513.3291688  -0.04406846
77513.3291698  -0.04309187
77513.3291708  -0.04284773
77513.3291718  -0.04358017
77513.3291728  -0.04382431
77513.3291738  -0.04358017
77513.3291748  -0.04358017
77513.3291758  -0.04333602
77513.3291768  -0.04309187
77513.3291778  -0.04358017
77513.3291788  -0.04309187
77513.3291798  -0.04284773
77513.3291808  -0.04333602
77513.3291818  -0.04333602
77513.3291828  -0.04309187
77513.3291838  -0.04358017
77513.3291848  -0.04358017
77513.3291858  -0.04309187
77513.3291868  -0.04309187
77513.3291878  -0.04309187
77513.3291888  -0.04309187
77513.3291898  -0.04333602
77513.3291908  -0.04235943
77513.3291918  -0.04309187
77513.3291928  -0.04358017
77513.3291938  -0.04333602
77513.3291948  -0.04431261
77513.3291958  -0.04382431
77513.3291968  -0.04382431
77513.3291978  -0.04358017
77513.3291988  -0.04382431
77513.3291998  -0.04382431
77513.3292008  -0.04382431
77513.3292018  -0.04358017
77513.3292028  -0.04284773
77513.3292038  -0.04333602
77513.3292048  -0.04333602
77513.3292058  -0.04406846
77513.3292068  -0.04406846
77513.3292078  -0.04382431
77513.3292088  -0.04406846
77513.3292098  -0.04406846
77513.3292108  -0.04333602
77513.3292118  -0.04358017
77513.3292128  -0.04382431
77513.3292138  -0.04406846
77513.3292148  -0.04358017
77513.3292158  -0.04309187
77513.3292168  -0.04358017
77513.3292178  -0.04358017
77513.3292188  -0.04406846
77513.3292198  -0.04358017
77513.3292208  -0.04309187
77513.3292218  -0.04431261
77513.3292228  -0.04309187
77513.3292238  -0.04284773
77513.3292248  -0.04382431
77513.3292258  -0.04333602
77513.3292268  -0.04309187
77513.3292278  -0.04382431
77513.3292288  -0.04382431
77513.3292298  -0.04382431
77513.3292308  -0.04382431
77513.3292318  -0.04333602
77513.3292328  -0.04333602
77513.3292338  -0.04284773
77513.3292348  -0.04333602
77513.3292358  -0.04382431
77513.3292368  -0.04358017
77513.3292378  -0.04382431
77513.3292388  -0.04333602
77513.3292398  -0.04309187
77513.3292408  -0.04358017
77513.3292418  -0.04309187
77513.3292428  -0.04333602
77513.3292438  -0.04284773
77513.3292448  -0.04358017
77513.3292458  -0.04406846
77513.3292468  -0.04309187
77513.3292478  -0.04406846
77513.3292488  -0.04358017
77513.3292498  -0.04358017
77513.3292508  -0.04406846
77513.3292518  -0.04382431
77513.3292528  -0.04358017
77513.3292538  -0.04358017
77513.3292548  -0.04333602
77513.3292558  -0.04358017
77513.3292568  -0.04431261
77513.3292578  -0.04406846
77513.3292588  -0.04382431
77513.3292598  -0.04406846
77513.3292608  -0.04333602
77513.3292618  -0.04358017
77513.3292628  -0.04333602
77513.3292638  -0.04382431
77513.3292648  -0.04431261
77513.3292658  -0.04431261
77513.3292668  -0.04358017
77513.3292678  -0.04358017
77513.3292688  -0.04431261
77513.3292698  -0.04406846
77513.3292708  -0.04358017
77513.3292718  -0.04284773
77513.3292728  -0.04309187
77513.3292738  -0.04260358
77513.3292748  -0.04382431
77513.3292758  -0.04382431
77513.3292768  -0.04406846
77513.3292778  -0.04333602
77513.3292788  -0.04333602
77513.3292798  -0.04455675
77513.3292808  -0.04406846
77513.3292818  -0.04406846
77513.3292828  -0.04406846
77513.3292838  -0.04382431
77513.3292848  -0.04406846
77513.3292858  -0.04406846
77513.3292868  -0.04358017
77513.3292878  -0.04358017
77513.3292888  -0.04309187
